Extracted:,"United Nations High Commissioner for Refugees"
"Date extracted:","05/02/2025 14:13 UTC"
"Last updated:","8 October 2024"
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data."

"Data table contains the following:","Population figures"
"Content type","End year stock population totals"
"Data quick link",
"Data definitions",https://www.unhcr.org/refugee-statistics/methodology/
"Usage licence",https://creativecommons.org/licenses/by/4.0/
"Population types included","REF,ROC,ASY,IDP,IOC,OIP,OOC,STA"
Years:,2024
Origin:,"214,213,211,210,174,207,204,203,201,262,202,186,70,198,200,199,197,187,190,196,195,194,193,192,191,218,188,189,185,184,183,246,178,177,216,69,112,173,179,245,159,172,171,181,180,255,168,169,166,164,165,163,176,170,208,249,261,206,108,175,161,160,158,222,122,102,157,156,155,154,151,150,149,153,148,152,147,146,143,233,120,142,141,139,140,145,62,138,137,144,136,135,131,130,228,133,129,121,66,124,134,119,118,125,132,126,123,127,128,117,114,113,111,107,106,110,109,115,105,100,104,101,99,98,96,97,95,94,93,90,92,91,89,88,86,85,83,205,81,80,75,79,78,232,227,77,253,76,74,73,72,71,68,67,63,59,64,61,60,65,58,182,57,56,55,162,8,54,53,52,51,50,41,103,49,48,254,390,46,84,290,87,45,43,40,42,44,116,82,37,38,36,34,35,33,39,32,47,16,23,30,28,225,27,238,26,29,229,25,22,19,18,31,17,24,15,20,14,21,13,12,11,224,10,9,7,223,6,5,4,3,2,263,278"
"Country of asylum:","214,213,211,210,174,207,204,203,201,262,202,186,70,198,200,199,197,187,190,196,195,194,193,192,191,218,188,189,185,184,183,246,178,177,216,69,112,173,179,245,159,172,171,181,180,255,168,169,166,164,165,163,176,170,208,249,261,206,108,175,161,160,158,222,122,102,157,156,155,154,151,150,149,153,148,152,147,146,143,233,120,142,141,139,140,145,62,138,137,144,136,135,131,130,228,133,129,121,66,124,134,119,118,125,132,126,123,127,128,117,114,113,111,107,106,110,109,115,105,100,104,101,99,98,96,97,95,94,93,90,92,91,89,88,86,85,83,205,81,80,75,79,78,232,227,77,253,76,74,73,72,71,68,67,63,59,64,61,60,65,58,182,57,56,55,162,8,54,53,52,51,50,41,103,49,48,254,390,46,84,290,87,45,43,40,42,44,116,82,37,38,36,34,35,33,39,32,47,16,23,30,28,225,27,238,26,29,229,25,22,19,18,31,17,24,15,20,14,21,13,12,11,224,10,9,7,223,6,5,4,3,2,263,278"
Year,"Country of origin","Country of asylum","Refugees under UNHCR's mandate",Asylum-seekers,"Returned refugees","IDPs of concern to UNHCR","Returned IDPss","Stateless persons","Others of concern","Other people in need of international protection","Host Community"
2024,Aruba,Ukraine,35,0,0,0,0,0,0,,0
2024,Afghanistan,Afghanistan,0,0,0,3221286,1111,0,72883,,1738747
2024,Afghanistan,Albania,5,0,0,0,0,0,53,,0
2024,Afghanistan,Egypt,47,448,0,0,0,0,0,,0
2024,Afghanistan,Argentina,28,0,0,0,0,0,0,,0
2024,Afghanistan,Armenia,9,6,0,0,0,0,0,,0
2024,Afghanistan,Australia,4885,1461,266,0,0,0,0,,0
2024,Afghanistan,Austria,42875,4416,0,0,0,0,0,,0
2024,Afghanistan,Azerbaijan,1106,0,5,0,0,0,15,,0
2024,Afghanistan,Belgium,9238,5865,0,0,0,0,0,,0
2024,Afghanistan,Benin,0,12,0,0,0,0,0,,0
2024,Afghanistan,Bangladesh,0,5,0,0,0,0,0,,0
2024,Afghanistan,Belarus,133,6,0,0,0,0,0,,0
2024,Afghanistan,Brazil,6716,268,0,0,0,0,0,,0
2024,Afghanistan,"Bosnia and Herzegovina",12,14,0,0,0,0,426,,0
2024,Afghanistan,Bulgaria,311,866,0,0,0,0,0,,0
2024,Afghanistan,Canada,2683,2988,0,0,0,0,0,,0
2024,Afghanistan,China,32,25,0,0,0,0,0,,0
2024,Afghanistan,Chile,217,11,0,0,0,0,0,,0
2024,Afghanistan,Colombia,7,0,0,0,0,0,0,,0
2024,Afghanistan,Cuba,9,0,0,0,0,0,0,,0
2024,Afghanistan,Cyprus,330,1301,0,0,0,0,0,,0
2024,Afghanistan,Czechia,191,5,0,0,0,0,0,,0
2024,Afghanistan,Denmark,2003,120,0,0,0,0,0,,0
2024,Afghanistan,"Dominican Rep.",7,13,0,0,0,0,0,,0
2024,Afghanistan,Ecuador,70,6,0,0,0,0,0,,0
2024,Afghanistan,Estonia,48,0,0,0,0,0,0,,0
2024,Afghanistan,Ethiopia,0,5,0,0,0,0,0,,0
2024,Afghanistan,Fiji,5,0,0,0,0,0,0,,0
2024,Afghanistan,Finland,3940,353,0,0,0,0,0,,0
2024,Afghanistan,France,86771,7632,0,0,0,0,0,,0
2024,Afghanistan,Gambia,0,5,0,0,0,0,0,,0
2024,Afghanistan,"United Kingdom of Great Britain and Northern Ireland",48815,11709,0,0,0,0,0,,0
2024,Afghanistan,Georgia,78,10,0,0,0,0,0,,0
2024,Afghanistan,Germany,267666,45284,0,0,0,0,0,,0
2024,Afghanistan,Ghana,22,6,0,0,0,0,0,,0
2024,Afghanistan,Greece,50636,2151,0,0,0,0,0,,0
2024,Afghanistan,Guyana,7,0,0,0,0,0,0,,0
2024,Afghanistan,"China, Hong Kong SAR",11,0,0,0,0,0,0,,0
2024,Afghanistan,Croatia,101,59,0,0,0,0,17,,0
2024,Afghanistan,Hungary,1437,0,0,0,0,0,0,,0
2024,Afghanistan,Iceland,258,53,0,0,0,0,0,,0
2024,Afghanistan,India,9427,1362,17,0,0,0,0,,0
2024,Afghanistan,Indonesia,4681,872,0,0,0,0,0,,0
2024,Afghanistan,Ireland,2346,1339,0,0,0,0,0,,0
2024,Afghanistan,"Iran (Islamic Rep. of)",3752317,0,348,0,0,0,0,,0
2024,Afghanistan,Iraq,23,1688,0,0,0,0,8,,0
2024,Afghanistan,Italy,17600,2244,0,0,0,0,0,,0
2024,Afghanistan,Jordan,9,5,0,0,0,0,0,,0
2024,Afghanistan,Japan,731,0,0,0,0,0,0,,0
2024,Afghanistan,Kazakhstan,213,135,0,0,0,0,0,,0
2024,Afghanistan,Kenya,65,251,0,0,0,0,0,,0
2024,Afghanistan,Kyrgyzstan,188,220,0,0,0,0,0,,0
2024,Afghanistan,"Rep. of Korea",72,69,0,0,0,0,0,,0
2024,Afghanistan,Kuwait,0,17,0,0,0,0,0,,0
2024,Afghanistan,Libya,0,5,0,0,0,0,0,,0
2024,Afghanistan,Lebanon,35,10,0,0,0,0,0,,0
2024,Afghanistan,"Sri Lanka",37,0,0,0,0,0,0,,0
2024,Afghanistan,Lithuania,276,5,0,0,0,0,0,,0
2024,Afghanistan,Luxembourg,537,177,0,0,0,0,0,,0
2024,Afghanistan,Latvia,262,20,0,0,0,0,0,,0
2024,Afghanistan,Madagascar,5,0,0,0,0,0,0,,0
2024,Afghanistan,"Rep. of Moldova",17,0,0,0,0,0,0,,0
2024,Afghanistan,Mexico,12,2166,0,0,0,0,0,,0
2024,Afghanistan,Malaysia,1319,1532,0,0,0,0,0,,0
2024,Afghanistan,Montenegro,0,0,0,0,0,0,212,,0
2024,Afghanistan,Mongolia,5,0,0,0,0,0,0,,0
2024,Afghanistan,Morocco,5,10,0,0,0,0,0,,0
2024,Afghanistan,Nepal,34,0,0,0,0,0,0,,0
2024,Afghanistan,"Netherlands (Kingdom of the)",9081,757,0,0,0,0,0,,0
2024,Afghanistan,Nigeria,5,0,0,0,0,0,0,,0
2024,Afghanistan,Norway,2771,246,0,0,0,0,0,,0
2024,Afghanistan,"New Zealand",75,39,0,0,0,0,40,,0
2024,Afghanistan,Oman,5,0,0,0,0,0,0,,0
2024,Afghanistan,Pakistan,1585772,165695,34548,0,0,0,45,,0
2024,Afghanistan,Panama,7,0,0,0,0,0,0,,0
2024,Afghanistan,Paraguay,15,0,0,0,0,0,0,,0
2024,Afghanistan,Peru,0,99,0,0,0,0,0,,0
2024,Afghanistan,Philippines,49,7,0,0,0,0,0,,0
2024,Afghanistan,"Papua New Guinea",8,0,0,0,0,0,0,,0
2024,Afghanistan,Poland,900,288,0,0,0,0,0,,0
2024,Afghanistan,Portugal,915,351,0,0,0,0,0,,0
2024,Afghanistan,Romania,378,14,0,0,0,0,0,,0
2024,Afghanistan,"South Africa",5,9,0,0,0,0,0,,0
2024,Afghanistan,"Russian Federation",1136,144,12,0,0,0,0,,0
2024,Afghanistan,Rwanda,19,0,0,0,0,0,0,,0
2024,Afghanistan,Senegal,0,5,0,0,0,0,0,,0
2024,Afghanistan,Spain,4105,860,0,0,0,0,0,,0
2024,Afghanistan,"Serbia and Kosovo: S/RES/1244 (1999)",38,6,0,0,0,0,92,,0
2024,Afghanistan,"South Sudan",5,0,0,0,0,0,0,,0
2024,Afghanistan,Sudan,0,0,0,0,0,0,5,,0
2024,Afghanistan,Suriname,0,12,0,0,0,0,0,,0
2024,Afghanistan,Slovakia,398,21,0,0,0,0,0,,0
2024,Afghanistan,Slovenia,136,23,0,0,0,0,0,,0
2024,Afghanistan,Eswatini,0,5,0,0,0,0,0,,0
2024,Afghanistan,Sweden,21637,876,0,0,0,0,0,,0
2024,Afghanistan,Switzerland,22432,1616,0,0,0,0,0,,0
2024,Afghanistan,"Syrian Arab Rep.",1202,178,0,0,0,0,0,,0
2024,Afghanistan,"United Rep. of Tanzania",0,5,0,0,0,0,0,,0
2024,Afghanistan,Thailand,105,30,0,0,0,0,0,,0
2024,Afghanistan,Tajikistan,8253,2115,32,0,0,0,0,,0
2024,Afghanistan,Turkmenistan,3509,0,0,0,0,0,0,,0
2024,Afghanistan,Tunisia,5,0,0,0,0,0,0,,0
2024,Afghanistan,Türkiye,12549,91373,0,0,0,0,0,,0
2024,Afghanistan,"United Arab Emirates",7,14,0,0,0,0,0,,0
2024,Afghanistan,Uganda,112,100,0,0,0,0,0,,0
2024,Afghanistan,Ukraine,883,5,0,0,0,0,0,,0
2024,Afghanistan,Uruguay,6,0,0,0,0,0,0,,0
2024,Afghanistan,"United States of America",46137,10897,0,0,0,0,0,,0
2024,Afghanistan,Uzbekistan,8955,0,0,0,0,0,0,,0
2024,Afghanistan,"Venezuela (Bolivarian Republic of)",10,0,0,0,0,0,0,,0
2024,Afghanistan,Zambia,17,7,0,0,0,0,0,,0
2024,Anguilla,Peru,0,5,0,0,0,0,0,,0
2024,Albania,Argentina,18,0,0,0,0,0,0,,0
2024,Albania,Australia,9,102,0,0,0,0,0,,0
2024,Albania,Austria,28,12,0,0,0,0,0,,0
2024,Albania,Belgium,387,290,0,0,0,0,0,,0
2024,Albania,Brazil,0,5,0,0,0,0,0,,0
2024,Albania,Canada,233,253,0,0,0,0,0,,0
2024,Albania,Finland,5,10,0,0,0,0,0,,0
2024,Albania,France,11708,544,0,0,0,0,0,,0
2024,Albania,"United Kingdom of Great Britain and Northern Ireland",5270,4436,0,0,0,0,0,,0
2024,Albania,Germany,1303,1029,0,0,0,0,0,,0
2024,Albania,Greece,127,350,0,0,0,0,0,,0
2024,Albania,Iceland,5,0,0,0,0,0,0,,0
2024,Albania,Ireland,218,275,0,0,0,0,0,,0
2024,Albania,Israel,0,6,0,0,0,0,0,,0
2024,Albania,Italy,678,1024,0,0,0,0,0,,0
2024,Albania,Luxembourg,20,19,0,0,0,0,0,,0
2024,Albania,Mexico,5,0,0,0,0,0,0,,0
2024,Albania,"Netherlands (Kingdom of the)",18,0,0,0,0,0,0,,0
2024,Albania,Norway,13,5,0,0,0,0,0,,0
2024,Albania,Peru,0,10,0,0,0,0,0,,0
2024,Albania,Portugal,5,0,0,0,0,0,0,,0
2024,Albania,Spain,21,105,0,0,0,0,0,,0
2024,Albania,Sweden,146,114,0,0,0,0,0,,0
2024,Albania,Switzerland,106,65,0,0,0,0,0,,0
2024,Albania,"United States of America",1617,3038,0,0,0,0,0,,0
2024,Algeria,Argentina,31,6,0,0,0,0,0,,0
2024,Algeria,Armenia,0,10,0,0,0,0,0,,0
2024,Algeria,Australia,9,24,0,0,0,0,0,,0
2024,Algeria,Austria,28,76,0,0,0,0,0,,0
2024,Algeria,Belgium,111,275,0,0,0,0,0,,0
2024,Algeria,Brazil,5,32,0,0,0,0,0,,0
2024,Algeria,"Bosnia and Herzegovina",0,0,0,0,0,0,36,,0
2024,Algeria,Bulgaria,0,15,0,0,0,0,0,,0
2024,Algeria,Canada,873,2217,0,0,0,0,0,,0
2024,Algeria,Cyprus,8,0,0,0,0,0,0,,0
2024,Algeria,Czechia,5,7,0,0,0,0,0,,0
2024,Algeria,Denmark,0,5,0,0,0,0,0,,0
2024,Algeria,Finland,10,12,0,0,0,0,0,,0
2024,Algeria,France,3447,527,0,0,0,0,0,,0
2024,Algeria,"United Kingdom of Great Britain and Northern Ireland",300,775,0,0,0,0,0,,0
2024,Algeria,Germany,1187,1294,0,0,0,0,0,,0
2024,Algeria,Greece,148,32,0,0,0,0,0,,0
2024,Algeria,Croatia,0,13,0,0,0,0,0,,0
2024,Algeria,Hungary,12,0,0,0,0,0,0,,0
2024,Algeria,Iceland,0,5,0,0,0,0,0,,0
2024,Algeria,Ireland,180,2945,0,0,0,0,0,,0
2024,Algeria,Italy,136,264,0,0,0,0,0,,0
2024,Algeria,Jordan,0,5,0,0,0,0,0,,0
2024,Algeria,"Rep. of Korea",0,149,0,0,0,0,0,,0
2024,Algeria,Lebanon,0,5,0,0,0,0,18,,0
2024,Algeria,Liechtenstein,0,5,0,0,0,0,0,,0
2024,Algeria,Luxembourg,0,53,0,0,0,0,0,,0
2024,Algeria,"North Macedonia",0,5,0,0,0,0,0,,0
2024,Algeria,Mexico,0,11,0,0,0,0,0,,0
2024,Algeria,Malaysia,6,7,0,0,0,0,0,,0
2024,Algeria,Montenegro,0,0,0,0,0,0,21,,0
2024,Algeria,Morocco,9,31,0,0,0,0,0,,0
2024,Algeria,Malta,0,5,0,0,0,0,0,,0
2024,Algeria,"Netherlands (Kingdom of the)",62,332,0,0,0,0,0,,0
2024,Algeria,Norway,9,0,0,0,0,0,0,,0
2024,Algeria,Pakistan,22,0,0,0,0,0,0,,0
2024,Algeria,Peru,0,5,0,0,0,0,0,,0
2024,Algeria,Poland,26,31,0,0,0,0,0,,0
2024,Algeria,Portugal,547,31,0,0,0,0,0,,0
2024,Algeria,Romania,7,0,0,0,0,0,0,,0
2024,Algeria,"South Africa",5,41,0,0,0,0,0,,0
2024,Algeria,Spain,294,910,0,0,0,0,0,,0
2024,Algeria,Slovakia,5,5,0,0,0,0,0,,0
2024,Algeria,Slovenia,0,42,0,0,0,0,0,,0
2024,Algeria,Sweden,43,44,0,0,0,0,0,,0
2024,Algeria,Switzerland,181,197,0,0,0,0,0,,0
2024,Algeria,"Syrian Arab Rep.",5,0,0,0,0,0,0,,0
2024,Algeria,Tunisia,13,27,0,0,0,0,0,,0
2024,Algeria,"United Arab Emirates",0,0,0,0,0,0,5,,0
2024,Algeria,"United States of America",120,1154,0,0,0,0,0,,0
2024,Andorra,Brazil,0,5,0,0,0,0,0,,0
2024,Andorra,Peru,0,9,0,0,0,0,0,,0
2024,Angola,Angola,0,0,0,0,0,0,142,,0
2024,Angola,Argentina,14,15,0,0,0,0,0,,0
2024,Angola,Australia,0,12,0,0,0,0,0,,0
2024,Angola,Austria,27,8,0,0,0,0,0,,0
2024,Angola,Belgium,63,345,0,0,0,0,0,,0
2024,Angola,Botswana,0,0,0,0,0,0,6,,0
2024,Angola,Brazil,142,8696,0,0,0,0,0,,0
2024,Angola,Canada,656,1531,0,0,0,0,0,,0
2024,Angola,"Central African Rep.",12,0,0,0,0,0,0,,0
2024,Angola,Chile,0,5,0,0,0,0,0,,0
2024,Angola,Cameroon,5,0,0,0,0,0,0,,0
2024,Angola,Congo,17,54,0,0,0,0,0,,0
