Footnote,Year,"Country of origin","Country of asylum","Population type"
"The IDP figure differs from those agreed and communicated by UN OCHA, given the exlusion of IDPs due to disasters, in line with UNHCR methodology.",2024,278,41,IDP
"UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents before 2007. According to information shared by the Dominican delegation during the 2019 High-Level Segment on Statelessness, approximately 48 per cent of the total Group A population of 61,049 persons had been authorized by the National Electoral Board (JCE) to request their nationality documentation. Additionally, as of December 2019, over 1,700 Group B persons (900 of which were children) had submitted applications for naturalization to the Ministry of Interior and of the Police (MIP). However, no naturalization decisions concerning this population had been issued by June 2024.",2024,278,53,STA
"Refugees includes people in refugee-like situations",2024,278,3,REF
"The United States of America has also offered temporary status in certain circumstances to people in need of international protection. UNHCR is in discussions with the U.S. government about how to best reflect such datapoints for all relevant populations in future reporting cycles.",2024,278,202,REF
"The number of refugees was rebased based on the data on refugee and temporary protection status holders, as provided by the government for end-2023.",2024,278,138,REF
"Only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. In addition, there are some 3,900 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.",2024,278,163,ASY
"The IDP figure can be found at CONAPO (2021) ""Diagnóstico nacional sobre la situación del desplazamiento forzado interno en México"" (https://www.gob.mx/cms/uploads/attachment/file/681782/Diagn_stico_nacional_sobre_la_situaci_n_del_desplazamiento_forzado_interno.pdf), where it is mentioned that 262,411 IDPs were displaced due to insecurity causes (pg18) and 24,376 IDPs due to disasters (pg 49). These calculations are based on 2020 Population and Housing Census carried out by INEGI.",2024,278,124,IDP
"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 159 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 180,455 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2024,278,115,STA
"The figure of others of concern has been provided by the Government of Colombia.",2024,44,44,OOC
"As of 30 June 2024, 152,800 Sudanese were registered by UNHCR in Egypt as asylum-seekers. Of this number, 153,200 were new arrivals who had fled the recent conflict, with an additional 181,000 pending registration with UNHCR by mid-year. The Government of Egypt reported 500,000 Sudanese people having arrived in the country since the onset of the crisis. See also the Sudan Situation on the Operational Data Portal.",2024,177,8,ASY
