Footnote,Year,"Country of origin","Country of asylum","Population type"
"IDP figure in South Sudan includes 105,000 people who are in an IDP-like situation.",2015,278,179,IDP
"Other people in need of international protection refers to people who are outside their country or territory of origin, typically because they have been forcibly displaced across international borders, who have not been reported under other categories (asylum-seekers, refugees, people in refugee-like situations) but who likely need international protection, including protection against forced return, as well as access to basic services on a temporary or longer-term basis.",2019,278,278,OIP
"The National Victims Registry of Colombia contains the historical accumulated figure of the number of victims of displacement which continues to increase, given that victims continue to be registered in the country. Thus, the total number of persons recognized as victims of displacement (more than 8.5 million), includes the number of IDPs who are subject to attention and/or reparation, i.e. those who meet the requirements to access the measures of attention and reparation established in Colombian Law 1448 (6.9 million). The number of victims of displacement who are deceased, direct victims of forced disappearance and homicide, and other victims who, for various reasons, cannot effectively access these measures, are identified as not being subject to attention or reparation and therefore not included in the figure of 6.9 million. The figure is constantly updated, considering that by legal definition, victims have up to two years to make their declaration and be included in the registry system. See the summary: https://www.unidadvictimas.gov.co/es/registro-unico-de-victimas-ruv/37394.",2023,278,44,IDP
"The IDP figure differs from those agreed and communicated by UN OCHA, given the exlusion of IDPs due to disasters, in line with UNHCR methodology.",2023,278,41,IDP
"The statelessness figure refers to the census figure from 2010 adjusted to reflect the number of stateless persons who acquired nationality in 2011-2016.",2016,278,160,STA
"The total stateless population in Malaysia includes 9,392 non-displaced stateless persons who may be entitled to Malaysian nationality under the law. This number of non-displaced stateless persons is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR. The total statelessness figure reported also includes 107,678 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State.",2023,278,127,STA
"UNHCR is currently working with the authorities and other actors to determine the size of the population that found an effective nationality solution under Law 169-14. Since the adoption of Law 169-14 in May 2014, important steps have been taken by the Dominican Republic to confirm Dominican nationality through the validation of birth certificates of individuals born in the country to two migrant parents before 2007. According to information shared by the Dominican delegation during the 2019 High-Level Segment on Statelessness, approximately 48 per cent of the total Group A population of 61,049 persons had been authorized by the National Electoral Board (JCE) to request their nationality documentation. Additionally, as of December 2019, over 1,700 Group B persons (900 of which were children) had submitted applications for naturalization to the Ministry of Interior and of the Police (MIP). However, no naturalization decisions concerning this population had been issued by June 2024.",2024,278,53,STA
"Figure is from the 2011 census, likely to include 2,020 persons registered as stateless by the authorities.",2015,278,154,STA
"The total statelessness figure reported relates to 2,089 stateless persons who are also counted as refugees or asylum-seekers. There are also indications that a potentially sizable population of non-displaced stateless persons exists for whom no data is available.",2023,278,89,STA
"Figure is based on a Government estimate of individuals who themselves or whose parents or grandparents migrated to Côte d’Ivoire before or just after independence and who did not establish their nationality at independence or before the nationality law changed in 1972. The estimate is derived in part from cases denied voter registration in 2010 because electoral authorities could not determine their nationality at the time. The estimation is adjusted to reflect the number of persons who acquired nationality through the special ‘acquisition of nationality by declaration’ procedure until end of 2016. The estimate does not include individuals of unknown parentage who were abandoned as children and who are not considered as nationals under Ivorian law.",2016,278,87,STA
"Refugee figure for Iraqis and Stateless persons in the Syrian Arab Republic was a Government estimate. UNHCR has registered and is assisting 18,300 Iraqis at the end of 2015.",2015,278,185,STA
"The figure of persons of concern under the statelessness mandate relates to stateless persons in Rakhine state and persons of undetermined nationality residing in other states in Myanmar.The figure of stateless persons in Rakhine state has been estimated on the basis of the 2014 census report and 2017 General Administration Department (GAD) of Ministry of Home Affairs (MoHA) data. It does not include an estimated 125,000 stateless IDPs who are also of concern under the statelessness mandate because they are already included within the IDP figures. In Rakhine State, the  total number of stateless persons were estimated to be approximately one million in 2014 according to the Government census report.Revisions have been made to take into account the number of stateless persons who fled to Bangladesh during 2017. The number of remaining stateless persons residing in Maungdaw area as of end of December 2017 is highly uncertain as no reliable comprehensive data is available and access has been severely constrained.Outside of Rakhine state, the figure of those with undetermined nationality (25,939) is based on government data released on 27 December 2016 indicating the number of persons who hold an Identity Card for National Verification, and whose citizenship has not yet been confirmed.",2018,278,135,STA
"Figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2018.",2018,278,3,STA
"Refugees includes people in refugee-like situations",2019,200,278,REF
"The 1.7 million refugees includes around 1,316,800 registered refugees, around 140,900 unregistered members of registered families who were being verified at the time of reporting and were recorded through the documentation renewal and information verification exercise (DRIVE) and around 286,100 Afghans who arrived in the country on or after 1 January 2021.",2022,278,147,REF
"Based on the information reported in the media as well as UNHCR protection monitoring activities, UNHCR estimates there to be 3,000 people of various origins in Tajikistan who may be in need of international protection.",2023,278,189,REF
"The total statelessness figure includes 561,500 stateless persons reported by the Royal Thai Government and registered with the national civil registration system as of end-2021.",2021,278,188,STA
"Based on the information reported in the media as well as UNHCR protection monitoring activities, UNHCR estimates there to be 42,412 people of various origins in Kazakhstan who may be in need of international protection.",2023,278,98,REF
"The overall figures for Spain include refugee status (11%), subsidiary protection (16%) and humanitarian reasons (73%).",2021,278,173,REF
"The figure reported under “Stateless people including displaced Rohingya population from Myanmar” relates to stateless persons who are also refugees from Myanmar, mainly from Rakhine State. This figure exceptionally includes 906,635 stateless refugees who are also counted in the column under “Refugees” in Annex Table 1. UNHCR’s statistical reporting currently follows a methodology that reports on one legal status as a person of concern only. However, due to the extraordinary size of the newly displaced stateless population in Bangladesh, UNHCR considered it important to reflect, on an exceptional basis, the dual status that this population group possesses as both refugees and stateless persons as to do otherwise might convey the mistaken impression that the overall number of stateless persons has declined significantly.",2018,278,20,STA
"The number of refugees was rebased using updated data on the number of residence permit holder with refugee status and temporary protection holders by the end of 2022, available from Eurostat.",2023,278,94,REF
"From various sources such as civil status offices, health institutions, schools, municipal child protection units, and social services, UNHCR estimates the number of people with undetermined nationality (at risk of statelessness).",2021,278,3,STA
"This figure is based on the number of stateless persons registered in the German Central Aliens Register as being “stateless”. The number of stateless persons counted as asylum seekers as well as the number of stateless counted under “refugee population” have been deducted. Persons registered under the category “undefined nationality” are not included in the statistics.",2018,278,72,STA
"The United States of America has also offered temporary status in certain circumstances to people in need of international protection. UNHCR is in discussions with the U.S. government about how to best reflect such datapoints for all relevant populations in future reporting cycles.",2023,278,202,REF
"Includes people deprived of their citizenship under previous nationality legislation, stateless individuals with permanent residence who are recognized as “stateless foreigners” and other stateless persons resident in Greece.",2015,278,76,STA
"Figure adjusted to reflect the results of a verification exercise, identification of new cases and the number of individuals who had their nationality confirmed in 2014 and 2015.",2015,278,29,STA
"The number of refugees was rebased based on the data on refugee and temporary protection status holders, as provided by the government for end-2023.",2024,278,138,REF
"Only those asylum-seekers facing acute or imminent protection risks are registered by UNHCR. In addition, there are some 3,900 other asylum-seekers who were individually assessed, counselled and advised to inform UNHCR of any changes in their situation, which would justify a decision to register them.",2024,278,163,ASY
"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 160 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 209,007 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2020,278,115,STA
"The new statelessness figure is based on a 2019 mapping study jointly conducted by the Government and UNHCR.",2019,278,87,STA
"IDP figure in Ukraine includes 800,000 people who are in an IDP-like situation.",2015,200,200,IDP
"The IDP figure can be found at CONAPO (2021) ""Diagnóstico nacional sobre la situación del desplazamiento forzado interno en México"" (https://www.gob.mx/cms/uploads/attachment/file/681782/Diagn_stico_nacional_sobre_la_situaci_n_del_desplazamiento_forzado_interno.pdf), where it is mentioned that 262,411 IDPs were displaced due to insecurity causes (pg18) and 24,376 IDPs due to disasters (pg 49). These calculations are based on 2020 Population and Housing Census carried out by INEGI.",2022,278,124,IDP
"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 169 persons fall under the Republic of Latvia’s Law on Stateless Persons of 17 February 2004. 216,682 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2019,278,115,STA
"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 159 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 180,455 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",2023,278,115,STA
