datetime,Shelling/artillery/missile attack,Air/drone strike,Armed clash
2018-01-07,63,0.0,60
2018-01-21,196,0.0,177
2018-02-04,149,0.0,163
2018-02-18,259,0.0,246
2018-03-04,266,0.0,253
2018-03-18,135,0.0,107
2018-04-01,193,0.0,245
2018-04-15,204,0.0,261
2018-04-29,232,0.0,310
2018-05-13,196,0.0,322
2018-05-27,302,0.0,307
2018-06-10,222,0.0,303
2018-06-24,223,0.0,310
2018-07-08,198,0.0,245
2018-07-22,158,0.0,263
2018-08-05,137,0.0,278
2018-08-19,137,0.0,379
2018-09-02,139,0.0,244
2018-09-16,103,0.0,412
2018-09-30,212,0.0,397
2018-10-14,266,0.0,428
2018-10-28,168,0.0,443
2018-11-11,212,0.0,470
2018-11-25,194,0.0,352
2018-12-09,152,0.0,433
2018-12-23,186,0.0,413
2019-01-06,123,0.0,299
2019-01-20,146,0.0,357
2019-02-03,143,0.0,334
2019-02-17,242,0.0,430
2019-03-03,221,0.0,247
2019-03-17,226,0.0,343
2019-03-31,296,0.0,399
2019-04-14,374,0.0,338
2019-04-28,249,0.0,284
2019-05-12,271,0.0,281
2019-05-26,285,0.0,257
2019-06-09,272,0.0,358
2019-06-23,278,0.0,366
2019-07-07,305,0.0,406
2019-07-21,322,0.0,329
2019-08-04,134,1.0,102
2019-08-18,180,0.0,214
2019-09-01,228,2.0,215
2019-09-15,258,1.0,284
2019-09-29,264,0.0,343
2019-10-13,298,0.0,381
2019-10-27,365,0.0,345
2019-11-10,332,0.0,280
2019-11-24,305,1.0,254
2019-12-08,226,0.0,242
2019-12-22,254,0.0,245
2020-01-05,223,0.0,189
2020-01-19,237,2.0,168
2020-02-02,350,0.0,223
2020-02-16,248,0.0,193
2020-03-01,351,1.0,261
2020-03-15,399,1.0,255
2020-03-29,355,0.0,210
2020-04-12,321,2.0,241
2020-04-26,246,0.0,196
2020-05-10,318,3.0,272
2020-05-24,309,0.0,230
2020-06-07,197,1.0,139
2020-06-21,256,2.0,153
2020-07-05,228,0.0,118
2020-07-19,246,1.0,163
